dataset,variables,n,slope,se_ratio,amri_mode,amri_v2_weight,se_naive,se_hc3,se_amri,se_amri_v2,true_se_bootstrap,naive_se_error_pct,hc3_se_error_pct,amri_se_error_pct,amri_v2_se_error_pct,naive_boot_coverage,hc3_boot_coverage,amri_boot_coverage,amri_v2_boot_coverage,naive_dist_95,hc3_dist_95,amri_dist_95,amri_v2_dist_95
California_Housing,MedInc -> HousePrice,20640,0.4179384920189625,1.1538387262338918,ROBUST,1.0,0.0030680575388678374,0.0035400436026595543,0.003717045782792532,0.0035400436026595543,0.003553231119615561,13.654433511778329,0.37114154728650095,4.610301375349178,0.37114154728650095,0.91036,0.94996,0.96036,0.94996,0.03964000000000001,3.999999999992898e-05,0.010360000000000036,3.999999999992898e-05
California_Rooms,AveRooms -> HousePrice,20640,0.07086879328040555,4.716325986331958,ROBUST,1.0,0.0032088770480107093,0.015134110208477089,0.015890815718900945,0.015134110208477089,0.013875665589663022,76.87406757336937,9.069436061874917,14.522907864968673,9.069436061874917,0.35508,0.95758,0.9647,0.95758,0.5949199999999999,0.007580000000000031,0.014700000000000046,0.007580000000000031
California_Age,HouseAge -> HousePrice,20640,0.009684496397427555,1.0351386591508498,ROBUST,1.0,0.000634668388542887,0.0006569697847217146,0.0006898182739578003,0.0006569697847217146,0.0006559236358785232,3.2405063902244673,0.1594924753382555,5.167467099105165,0.1594924753382555,0.9425,0.951,0.96116,0.951,0.007499999999999951,0.0010000000000000009,0.011160000000000059,0.0010000000000000009
Diabetes_BMI,BMI -> DiseaseProgress,442,949.4352603840387,0.9173858200861034,EFFICIENT,0.8128220899099325,62.51512200285265,57.35048646636978,62.51512200285265,58.31719215246554,57.39568025172865,8.919559326888216,0.07874074348566974,8.919559326888216,1.60554225805022,0.96626,0.94898,0.96626,0.95286,0.016260000000000052,0.0010199999999999099,0.016260000000000052,0.0028600000000000847
Diabetes_BP,BloodPressure -> DiseaseProgress,442,714.738259496041,0.9555571751873129,EFFICIENT,0.0,69.25181889385094,66.17407243879158,69.25181889385094,69.25181889385094,66.11648590715161,4.742134951186487,0.08709859704407098,4.742134951186487,4.742134951186487,0.9601,0.95072,0.9601,0.9601,0.010099999999999998,0.0007200000000000539,0.010099999999999998,0.010099999999999998
Diabetes_S5,S5_ltg -> DiseaseProgress,442,916.1373745509135,0.9673623652213845,EFFICIENT,0.0,63.634278844484534,61.55740649215767,63.634278844484534,63.634278844484534,61.40431803655379,3.631602596096347,0.24931219904233032,3.631602596096347,3.631602596096347,0.95898,0.95206,0.95898,0.95898,0.008980000000000099,0.0020600000000000618,0.008980000000000099,0.008980000000000099
Duncan_Prestige,Income -> Prestige,45,1.0803896789386604,0.9913667647499148,EFFICIENT,0.0,0.10736877658191313,0.10644183667516763,0.10736877658191313,0.10736877658191313,0.10341105861949314,3.8271709189078496,2.9308065270141084,3.8271709189078496,3.8271709189078496,0.96558,0.96412,0.96558,0.96558,0.015580000000000038,0.014120000000000021,0.015580000000000038,0.015580000000000038
Fair_Affairs,MarriageRating -> Affairs,6366,-0.40809094121781303,1.1811960036754448,ROBUST,1.0,0.028268886990730113,0.03339109634180318,0.03506065115889334,0.03339109634180318,0.03325877266535311,15.00321651923478,0.39786097274693694,5.417754021384296,0.39786097274693694,0.9049,0.95048,0.9603,0.95048,0.04509999999999992,0.00048000000000003595,0.010300000000000087,0.00048000000000003595
Fair_Age,Age -> Affairs,6366,-0.028946861965462835,0.8950298390539886,ROBUST,1.0,0.0040170032268325665,0.003595337751591305,0.0037751046391708704,0.003595337751591305,0.003596202008393592,11.701267544393165,0.02403248761526387,4.9747658880039785,0.02403248761526387,0.97094,0.94934,0.96008,0.94934,0.02094000000000007,0.0006599999999999939,0.010080000000000089,0.0006599999999999939
Star98_Math,Feature1 -> MathScore,303,0.33120407406402547,18.157310454881152,ROBUST,1.0,0.009903249944058517,0.1798163837465549,0.18880720293388265,0.1798163837465549,0.09317299729591821,89.37111584743195,92.99194934714461,102.64154681450184,92.99194934714461,0.62422,0.99984,0.99992,0.99984,0.32577999999999996,0.049839999999999995,0.049920000000000075,0.049839999999999995
Abalone_Length,Length -> Rings,4177,14.946410917580362,0.8318068886278038,ROBUST,1.0,0.34515697490423325,0.2871039493832752,0.30145914685243896,0.2871039493832752,0.28791160191864495,19.882968454242455,0.28052101061143014,4.705452938857994,0.28052101061143014,0.98148,0.95044,0.96008,0.95044,0.031480000000000063,0.00043999999999999595,0.010080000000000089,0.00043999999999999595
Abalone_ShellWt,ShellWeight -> Rings,4177,14.5356752609872,1.1329585220101959,ROBUST,1.0,0.2790823340673427,0.31618870872409227,0.3319981441602969,0.31618870872409227,0.3159536781701286,11.669857529853523,0.0743876619271775,5.078107045023535,0.0743876619271775,0.91672,0.95058,0.96072,0.95058,0.033279999999999976,0.0005800000000000249,0.010720000000000063,0.0005800000000000249
Abalone_Diameter,Diameter -> Rings,4177,18.669921360615387,0.8482435378650239,ROBUST,1.0,0.4114953757880182,0.34904829337352605,0.36650070804220236,0.34904829337352605,0.3503384652056759,17.456521808542615,0.3682643958014786,4.613322384408449,0.3682643958014786,0.97886,0.94986,0.95988,0.94986,0.028859999999999997,0.00013999999999991797,0.00988,0.00013999999999991797
AutoMPG_HP,Horsepower -> MPG,392,-0.15784473335365362,1.1627167697064125,ROBUST,1.0,0.006445500517685034,0.007494291541063752,0.00786900611811694,0.007494291541063752,0.007446673934798817,13.444571709192635,0.6394479828425738,5.6714203819846984,0.6394479828425738,0.91086,0.95144,0.96124,0.95144,0.03913999999999995,0.0014399999999999968,0.011240000000000028,0.0014399999999999968
AutoMPG_Weight,Weight -> MPG,398,-0.007676610063926469,0.9147130136264996,EFFICIENT,0.7784353532847818,0.00025748686280782304,0.00023552658424817686,0.00025748686280782304,0.00024039220560901264,0.0002343232599741609,9.885319466883665,0.5135317228638187,9.885319466883665,2.5899885634575845,0.9685,0.95076,0.9685,0.95532,0.018500000000000072,0.0007600000000000939,0.018500000000000072,0.005319999999999991
Wine_Alcohol,Alcohol -> Quality,1599,0.36084176533499207,1.0845838726816517,ROBUST,1.0,0.01667516029547396,0.018085609930852464,0.018989890427395087,0.018085609930852464,0.018136788345179046,8.058913308615653,0.28218013769888967,4.703710855416167,0.28218013769888967,0.92926,0.94892,0.95952,0.94892,0.02073999999999998,0.0010799999999999699,0.009520000000000084,0.0010799999999999699
Wine_Acidity,VolatileAcidity -> Quality,1599,-1.761437780112667,1.062478018643566,ROBUST,1.0,0.10389397037693061,0.11038505979509458,0.11590431278484932,0.11038505979509458,0.10992420591537509,5.485812236011823,0.4192469491881308,5.440209296647546,0.4192469491881308,0.93622,0.951,0.96188,0.951,0.013779999999999903,0.0010000000000000009,0.011880000000000002,0.0010000000000000009
mtcars_HP,Horsepower -> MPG,32,-0.06822827807156366,1.6406200430798876,ROBUST,1.0,0.010119303810422772,0.01660193265339428,0.017432029286063994,0.01660193265339428,0.01392625443231279,27.33650056727983,19.21319356964476,25.173853248127,19.21319356964476,0.86498,0.97912,0.9838,0.97912,0.08501999999999998,0.029120000000000035,0.03380000000000005,0.029120000000000035
mtcars_Weight,Weight -> MPG,32,-5.344471572722677,1.3201664577563061,EFFICIENT,0.571235577984669,0.559101045099323,0.738106446236622,0.559101045099323,0.6613552988803655,0.7070278232869065,20.92234185351938,4.3956718429034245,20.92234185351938,6.459791666219542,0.89722,0.9596,0.89722,0.94074,0.05277999999999994,0.009600000000000053,0.05277999999999994,0.009259999999999935
mtcars_Disp,Displacement -> MPG,32,-0.04121511996278614,1.1453401008757014,EFFICIENT,0.0,0.004711833309637003,0.005396651638169134,0.004711833309637003,0.004711833309637003,0.005228246659180576,9.877371578037037,3.221060327994402,9.877371578037037,9.877371578037037,0.93304,0.963,0.93304,0.93304,0.016959999999999975,0.013000000000000012,0.016959999999999975,0.016959999999999975
Iris_Sepal,SepalLength -> SepalWidth,150,-0.06188479796414411,0.9488259296701598,EFFICIENT,0.0,0.04296698792989743,0.04076819226771146,0.04296698792989743,0.04296698792989743,0.04005814058993909,7.261563560164143,1.7725527628476698,7.261563560164143,7.261563560164143,0.9661,0.95514,0.9661,0.9661,0.016100000000000003,0.005140000000000033,0.016100000000000003,0.016100000000000003
Faithful,EruptionDuration -> WaitingTime,272,10.729641395133525,0.9609927487603571,EFFICIENT,0.0,0.3147534058464101,0.3024757406660259,0.3147534058464101,0.3147534058464101,0.3003346177003066,4.800907819587911,0.7129124781265905,4.800907819587911,4.800907819587911,0.96084,0.95154,0.96084,0.96084,0.010840000000000072,0.0015400000000000968,0.010840000000000072,0.010840000000000072
