dgp,delta,n,method,B_total,B_valid,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true,avg_weight,pct_full_robust,pct_full_naive
DGP1_nonlinearity,0.0,50,AMRI,2000,2000,0.9445,0.00512,0.590002,0.5756,0.002067,0.14648,0.14672,1.0,,,
DGP1_nonlinearity,0.0,50,AMRI_v2,2000,2000,0.9445,0.00512,0.590236,0.58009,0.002067,0.14648,0.146779,1.0,0.1575,0.0505,0.6755
DGP1_nonlinearity,0.0,100,AMRI,2000,2000,0.9545,0.00466,0.405399,0.400701,0.002045,0.100093,0.102143,1.0,,,
DGP1_nonlinearity,0.0,100,AMRI_v2,2000,2000,0.953,0.004732,0.404413,0.401104,0.002045,0.100093,0.101895,1.0,0.1509,0.049,0.695
DGP1_nonlinearity,0.0,250,AMRI,2000,2000,0.9485,0.004942,0.250896,0.249865,0.000367,0.063952,0.063693,1.0,,,
DGP1_nonlinearity,0.0,250,AMRI_v2,2000,2000,0.9475,0.004987,0.250543,0.250112,0.000367,0.063952,0.063603,1.0,0.1473,0.044,0.6855
DGP1_nonlinearity,0.0,500,AMRI,2000,2000,0.954,0.004684,0.176862,0.175925,0.000165,0.044131,0.045009,1.0,,,
DGP1_nonlinearity,0.0,500,AMRI_v2,2000,2000,0.9535,0.004708,0.176373,0.175866,0.000165,0.044131,0.044885,1.0,0.1579,0.0505,0.681
DGP1_nonlinearity,0.0,1000,AMRI,2000,2000,0.9385,0.005372,0.124593,0.124164,0.000445,0.032447,0.031746,1.0,,,
DGP1_nonlinearity,0.0,1000,AMRI_v2,2000,2000,0.939,0.005352,0.12434,0.124173,0.000445,0.032447,0.031681,1.0,0.148,0.043,0.687
DGP1_nonlinearity,0.0,5000,AMRI,2000,2000,0.9385,0.005372,0.055632,0.055525,-0.000136,0.014584,0.014189,1.0,,,
DGP1_nonlinearity,0.0,5000,AMRI_v2,2000,2000,0.938,0.005392,0.055501,0.055489,-0.000136,0.014584,0.014155,1.0,0.155,0.0465,0.6755
DGP1_nonlinearity,0.25,50,AMRI,2000,2000,0.9225,0.005979,0.712703,0.643049,-0.00171,0.185129,0.177233,1.0,,,
DGP1_nonlinearity,0.25,50,AMRI_v2,2000,2000,0.9265,0.005835,0.709654,0.665134,-0.00171,0.185129,0.176475,1.0,0.3843,0.25,0.4505
DGP1_nonlinearity,0.25,100,AMRI,2000,2000,0.9365,0.005453,0.501824,0.464866,-0.00095,0.126435,0.126438,1.0,,,
DGP1_nonlinearity,0.25,100,AMRI_v2,2000,2000,0.9365,0.005453,0.495897,0.474858,-0.00095,0.126435,0.124945,1.0,0.5369,0.388,0.31
