dgp,delta,n,method,coverage,coverage_accuracy,avg_width,median_width,valid_reps
Heteroscedastic,0.0,100,Naive_OLS,0.948,0.0020000000000000018,0.4024351655336752,0.40107684037314284,500
Heteroscedastic,0.0,100,Sandwich_HC3,0.948,0.0020000000000000018,0.404283798064091,0.40097176889413433,500
Heteroscedastic,0.0,100,Sandwich_HC4,0.962,0.01200000000000001,0.43825519021473575,0.4291543775095792,500
Heteroscedastic,0.0,100,AKS_Adaptive,0.938,0.01200000000000001,0.3996856765893568,0.3982607307491734,500
Heteroscedastic,0.0,100,AMRI_v1,0.946,0.0040000000000000036,0.40645782471195296,0.4020139030930874,500
Heteroscedastic,0.0,100,AMRI_v2,0.946,0.0040000000000000036,0.4060897549460245,0.4023075616605851,500
Heteroscedastic,0.0,500,Naive_OLS,0.956,0.006000000000000005,0.17613473032454216,0.175757527388067,500
Heteroscedastic,0.0,500,Sandwich_HC3,0.96,0.010000000000000009,0.17666285528440018,0.17611436691405197,500
Heteroscedastic,0.0,500,Sandwich_HC4,0.966,0.016000000000000014,0.1793464503040441,0.1790475603291078,500
Heteroscedastic,0.0,500,AKS_Adaptive,0.954,0.0040000000000000036,0.1758613739159694,0.17536721442356196,500
Heteroscedastic,0.0,500,AMRI_v1,0.956,0.006000000000000005,0.17678969339534792,0.17582925437594948,500
Heteroscedastic,0.0,500,AMRI_v2,0.958,0.008000000000000007,0.17660683120052265,0.17598500462103572,500
Heteroscedastic,0.5,100,Naive_OLS,0.904,0.04599999999999993,0.4275486578683008,0.4266416577596887,500
Heteroscedastic,0.5,100,Sandwich_HC3,0.952,0.0020000000000000018,0.4740702731978851,0.45894634589898387,500
Heteroscedastic,0.5,100,Sandwich_HC4,0.966,0.016000000000000014,0.5224438946428043,0.49770480580326654,500
Heteroscedastic,0.5,100,AKS_Adaptive,0.922,0.027999999999999914,0.4474606137020079,0.4304881937495922,500
Heteroscedastic,0.5,100,AMRI_v1,0.936,0.013999999999999901,0.47098893973741385,0.4396714780938693,500
Heteroscedastic,0.5,100,AMRI_v2,0.938,0.01200000000000001,0.4693481896743707,0.4463971377121354,500
