dgp,delta,n,method,coverage,coverage_accuracy,avg_width,median_width,valid_reps
Heteroscedastic,0.0,100,Naive_OLS,0.957,0.007000000000000006,0.4008,0.4008,2000
Heteroscedastic,0.0,100,Sandwich_HC3,0.955,0.0050000000000000044,0.4028,0.4028,2000
Heteroscedastic,0.0,100,Sandwich_HC4,0.967,0.017000000000000015,0.4376,0.4376,2000
Heteroscedastic,0.0,100,Sandwich_HC5,0.96,0.010000000000000009,0.413,0.413,2000
Heteroscedastic,0.0,100,Pairs_Bootstrap,0.952,0.0020000000000000018,0.3859,0.3859,50
Heteroscedastic,0.0,100,AMRI_v1,0.957,0.007000000000000006,0.4049,0.4049,2000
Heteroscedastic,0.0,100,AMRI_v2,0.9575,0.007500000000000062,0.4046,0.4046,2000
Heteroscedastic,0.0,500,Naive_OLS,0.95,0.0,0.1761,0.1761,2000
Heteroscedastic,0.0,500,Sandwich_HC3,0.948,0.0020000000000000018,0.1764,0.1764,2000
Heteroscedastic,0.0,500,Sandwich_HC4,0.9505,0.000500000000000056,0.179,0.179,2000
Heteroscedastic,0.0,500,Sandwich_HC5,0.949,0.0010000000000000009,0.1772,0.1772,2000
Heteroscedastic,0.0,500,Pairs_Bootstrap,0.946,0.0040000000000000036,0.1728,0.1728,500
Heteroscedastic,0.0,500,Wild_Bootstrap,0.942,0.008000000000000007,0.1716,0.1716,500
Heteroscedastic,0.0,500,Bootstrap_t,0.944,0.006000000000000005,0.1742,0.1742,500
Heteroscedastic,0.0,500,AKS_Adaptive,0.9495,0.0004999999999999449,0.1759,0.1759,2000
Heteroscedastic,0.0,500,AMRI_v1,0.95,0.0,0.1768,0.1768,2000
Heteroscedastic,0.0,500,AMRI_v2,0.949,0.0010000000000000009,0.1765,0.1765,2000
Heteroscedastic,0.0,2000,Naive_OLS,0.9485,0.0014999999999999458,0.0878,0.0878,2000
Heteroscedastic,0.0,2000,Sandwich_HC3,0.947,0.0030000000000000027,0.0878,0.0878,2000
Heteroscedastic,0.0,2000,Sandwich_HC4,0.947,0.0030000000000000027,0.0881,0.0881,2000
Heteroscedastic,0.0,2000,Sandwich_HC5,0.947,0.0030000000000000027,0.0879,0.0879,2000
Heteroscedastic,0.0,2000,Pairs_Bootstrap,0.94,0.010000000000000009,0.0864,0.0864,500
Heteroscedastic,0.0,2000,Wild_Bootstrap,0.94,0.010000000000000009,0.0862,0.0862,500
Heteroscedastic,0.0,2000,AKS_Adaptive,0.947,0.0030000000000000027,0.0877,0.0877,2000
Heteroscedastic,0.0,2000,AMRI_v1,0.9475,0.0024999999999999467,0.088,0.088,2000
Heteroscedastic,0.0,2000,AMRI_v2,0.947,0.0030000000000000027,0.0878,0.0878,2000
Heteroscedastic,0.25,100,Naive_OLS,0.94,0.010000000000000009,0.4065,0.4065,2000
Heteroscedastic,0.25,100,Sandwich_HC3,0.943,0.007000000000000006,0.4193,0.4193,2000
Heteroscedastic,0.25,100,Sandwich_HC4,0.9575,0.007500000000000062,0.4569,0.4569,2000
Heteroscedastic,0.25,100,Sandwich_HC5,0.948,0.0020000000000000018,0.4303,0.4303,2000
