dgp,delta,n,method,B_total,B_valid,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true
DGP1_nonlinearity,0.0,50,Naive_OLS,2000,2000,0.945,0.005098,0.577576,0.572835,0.002067,0.14648,0.14363,1.0
DGP1_nonlinearity,0.0,50,Sandwich_HC0,2000,2000,0.924,0.005926,0.550268,0.541455,0.002067,0.14648,0.136839,1.0
DGP1_nonlinearity,0.0,50,Sandwich_HC3,2000,2000,0.9445,0.00512,0.596512,0.585606,0.002067,0.14648,0.148339,1.0
DGP1_nonlinearity,0.0,50,Bayesian,2000,2000,0.945,0.005098,0.577576,0.572835,0.002067,0.14648,0.14363,1.0
DGP1_nonlinearity,0.0,50,AMRI,2000,2000,0.9445,0.00512,0.590002,0.5756,0.002067,0.14648,0.14672,1.0
DGP1_nonlinearity,0.0,50,Pairs_Bootstrap,2000,2000,0.929,0.005743,0.557989,0.551481,0.002067,0.14648,0.142438,1.0
DGP1_nonlinearity,0.0,50,Wild_Bootstrap,2000,2000,0.908,0.006463,0.526405,0.520093,0.002067,0.14648,0.136692,1.0
DGP1_nonlinearity,0.0,50,Bootstrap_t,2000,2000,0.9385,0.005372,0.606585,0.585283,0.002067,0.14648,0.148339,1.0
DGP1_nonlinearity,0.0,100,Naive_OLS,2000,2000,0.955,0.004635,0.400002,0.3978,0.002045,0.100093,0.100783,1.0
DGP1_nonlinearity,0.0,100,Sandwich_HC0,2000,2000,0.9405,0.00529,0.390954,0.387309,0.002045,0.100093,0.098503,1.0
DGP1_nonlinearity,0.0,100,Sandwich_HC3,2000,2000,0.9505,0.00485,0.406877,0.40314,0.002045,0.100093,0.102515,1.0
DGP1_nonlinearity,0.0,100,Bayesian,2000,2000,0.955,0.004635,0.400002,0.3978,0.002045,0.100093,0.100783,1.0
DGP1_nonlinearity,0.0,100,AMRI,2000,2000,0.9545,0.00466,0.405399,0.400701,0.002045,0.100093,0.102143,1.0
DGP1_nonlinearity,0.0,100,Pairs_Bootstrap,2000,2000,0.939,0.005352,0.391741,0.388345,0.002045,0.100093,0.100174,1.0
DGP1_nonlinearity,0.0,100,Wild_Bootstrap,2000,2000,0.9365,0.005453,0.381952,0.379017,0.002045,0.100093,0.098432,1.0
DGP1_nonlinearity,0.0,100,Bootstrap_t,2000,2000,0.949,0.004919,0.407521,0.401901,0.002045,0.100093,0.102515,1.0
DGP1_nonlinearity,0.0,250,Naive_OLS,2000,2000,0.949,0.004919,0.249705,0.249488,0.000367,0.063952,0.063391,1.0
DGP1_nonlinearity,0.0,250,Sandwich_HC0,2000,2000,0.9425,0.005205,0.247156,0.246609,0.000367,0.063952,0.062743,1.0
DGP1_nonlinearity,0.0,250,Sandwich_HC3,2000,2000,0.946,0.005054,0.251148,0.250577,0.000367,0.063952,0.063757,1.0
DGP1_nonlinearity,0.0,250,Bayesian,2000,2000,0.949,0.004919,0.249705,0.249488,0.000367,0.063952,0.063391,1.0
DGP1_nonlinearity,0.0,250,AMRI,2000,2000,0.9485,0.004942,0.250896,0.249865,0.000367,0.063952,0.063693,1.0
DGP1_nonlinearity,0.0,250,Pairs_Bootstrap,2000,2000,0.941,0.005269,0.246756,0.246194,0.000367,0.063952,0.063108,1.0
DGP1_nonlinearity,0.0,250,Wild_Bootstrap,2000,2000,0.9355,0.005493,0.244373,0.243494,0.000367,0.063952,0.062716,1.0
DGP1_nonlinearity,0.0,250,Bootstrap_t,2000,2000,0.9405,0.00529,0.250625,0.249503,0.000367,0.063952,0.063757,1.0
DGP1_nonlinearity,0.0,500,Naive_OLS,2000,2000,0.9535,0.004708,0.175981,0.175747,0.000165,0.044131,0.044785,1.0
DGP1_nonlinearity,0.0,500,Sandwich_HC0,2000,2000,0.954,0.004684,0.175117,0.174654,0.000165,0.044131,0.044565,1.0
