dgp,category,n,delta,valid_reps,cov_naive,cov_robust,cov_amri,width_naive,width_robust,width_amri,avg_weight,pct_full_robust,pct_full_naive
MLR_correct,MLR,100,0.0,1000,0.952,0.947,0.949,0.40482777476815,0.41417812971354667,0.40980753395387615,0.1419451828961217,0.049,0.699
MLR_correct,MLR,100,0.25,1000,0.939,0.941,0.94,0.40699979546845333,0.415494040351936,0.41168275187652686,0.13902201981293494,0.042,0.717
MLR_correct,MLR,100,0.5,1000,0.946,0.945,0.948,0.40495541955423087,0.41558312839277556,0.41050463850955826,0.15507241740776492,0.051,0.678
MLR_correct,MLR,100,0.75,1000,0.958,0.953,0.957,0.40591214448096113,0.41620839066345583,0.41152281995622203,0.15879333985075506,0.056,0.691
MLR_correct,MLR,100,1.0,1000,0.937,0.935,0.94,0.40575052823027546,0.418101965361018,0.4126660305120217,0.16060305189716342,0.055,0.677
MLR_correct,MLR,300,0.0,1000,0.951,0.958,0.953,0.22849234742374314,0.2306695915703714,0.2297958013359725,0.14284942902314093,0.044,0.7
MLR_correct,MLR,300,0.25,1000,0.946,0.945,0.946,0.22844294275384944,0.23078759646896224,0.23019971301019573,0.1648635142855838,0.067,0.686
MLR_correct,MLR,300,0.5,1000,0.94,0.941,0.943,0.22917170653074118,0.23071384658785563,0.23019967681772383,0.1510951612031876,0.049,0.693
MLR_correct,MLR,300,0.75,1000,0.953,0.951,0.953,0.22908678085942208,0.2311085478536729,0.23038319804406682,0.15300981384465825,0.052,0.689
MLR_correct,MLR,300,1.0,1000,0.948,0.945,0.948,0.22936730788742005,0.23100065514336227,0.2303593958070892,0.1463596933362703,0.047,0.707
MLR_correct,MLR,1000,0.0,1000,0.939,0.937,0.938,0.1244288370798916,0.1247476425613638,0.12462103857843908,0.1439333643890437,0.043,0.678
MLR_correct,MLR,1000,0.25,1000,0.94,0.94,0.94,0.12424488346877936,0.12466047915535973,0.12452935163064165,0.1551730653186398,0.047,0.686
MLR_correct,MLR,1000,0.5,1000,0.951,0.949,0.95,0.12440648884378967,0.12460835020648531,0.12448845878112334,0.14903305707639097,0.036,0.689
MLR_correct,MLR,1000,0.75,1000,0.953,0.951,0.952,0.12454755299836633,0.12475126435446482,0.12479317271297988,0.14680003065281838,0.052,0.708
MLR_correct,MLR,1000,1.0,1000,0.951,0.954,0.951,0.12435649774863598,0.12494558928206788,0.12470340580418178,0.1592370830473647,0.055,0.684
MLR_hetero,MLR,100,0.0,1000,0.955,0.956,0.957,0.40426838175479757,0.4136792366204729,0.4095757529730297,0.15726519417627388,0.058,0.685
MLR_hetero,MLR,100,0.25,1000,0.95,0.95,0.952,0.4099540847029393,0.4314188596546276,0.4253873146460113,0.20797255820729668,0.1,0.637
MLR_hetero,MLR,100,0.5,1000,0.926,0.957,0.95,0.42974348756541114,0.48282479279509943,0.4733125601131326,0.37596814577754095,0.243,0.471
MLR_hetero,MLR,100,0.75,1000,0.887,0.941,0.937,0.464297624808298,0.583623835535158,0.5733181479343153,0.5985911014197102,0.47,0.269
MLR_hetero,MLR,100,1.0,1000,0.85,0.949,0.946,0.5153896985783367,0.7052180500957342,0.6967144635620037,0.761329805489614,0.648,0.14
MLR_hetero,MLR,300,0.0,1000,0.952,0.952,0.952,0.22807054952280628,0.23020954032381372,0.2291560269218307,0.1447031043590028,0.045,0.699
MLR_hetero,MLR,300,0.25,1000,0.938,0.945,0.943,0.23151416607276143,0.2396932458545425,0.23750954144992023,0.26284212292554027,0.139,0.565
MLR_hetero,MLR,300,0.5,1000,0.92,0.941,0.94,0.24370456587901282,0.27038865446787785,0.2668611867254332,0.5369812446720483,0.394,0.325
MLR_hetero,MLR,300,0.75,1000,0.891,0.954,0.951,0.2628975091203484,0.32674083946238386,0.3249745431215047,0.8708784206071807,0.798,0.063
MLR_hetero,MLR,300,1.0,1000,0.848,0.95,0.949,0.2917417617941315,0.4006801139080143,0.4002782501886642,0.9753224271914928,0.951,0.011
MLR_hetero,MLR,1000,0.0,1000,0.954,0.955,0.955,0.12429894991513663,0.12463843251118288,0.1245095376588833,0.16128821166519705,0.048,0.666
MLR_hetero,MLR,1000,0.25,1000,0.937,0.939,0.94,0.12612599153114723,0.13015932092270885,0.1291636424503945,0.34676172510967546,0.203,0.478
MLR_hetero,MLR,1000,0.5,1000,0.929,0.951,0.951,0.1323543656043541,0.14859792284027765,0.14821077968973698,0.8995937582071585,0.836,0.055
MLR_hetero,MLR,1000,0.75,1000,0.867,0.95,0.95,0.1432958317217163,0.17816647096477373,0.17815865375925413,0.9979276288992853,0.997,0.002
MLR_hetero,MLR,1000,1.0,1000,0.845,0.954,0.954,0.1593681815860206,0.2244168040133141,0.2244168040133141,1.0,1.0,0.0
MLR_omitted,MLR,100,0.0,1000,0.955,0.948,0.953,0.40297000512047215,0.41327517014884674,0.40831200395860484,0.14209915942112564,0.041,0.706
MLR_omitted,MLR,100,0.25,1000,0.95,0.953,0.95,0.4135974050481071,0.4239547468822478,0.4183602557559157,0.13635282099981344,0.054,0.714
MLR_omitted,MLR,100,0.5,1000,0.947,0.947,0.946,0.44132640711855364,0.4533663006546031,0.44773211102478333,0.16823545983743857,0.054,0.661
MLR_omitted,MLR,100,0.75,1000,0.958,0.956,0.955,0.48449599714743125,0.4966055370314773,0.49134789337883344,0.15366096915478622,0.057,0.68
MLR_omitted,MLR,100,1.0,1000,0.954,0.954,0.954,0.5358879761718464,0.5493975919335584,0.543509383268957,0.1623975402198668,0.056,0.684
MLR_omitted,MLR,300,0.0,1000,0.957,0.957,0.955,0.22834479699688376,0.23042538648871877,0.2292749741575872,0.15805073780356343,0.054,0.68
MLR_omitted,MLR,300,0.25,1000,0.95,0.952,0.951,0.23425648126060913,0.23603328359760486,0.23549497922416993,0.15745633461731184,0.051,0.681
MLR_omitted,MLR,300,0.5,1000,0.952,0.955,0.953,0.2494470810727974,0.2517154792174133,0.2509149071713724,0.1592180765574857,0.047,0.674
MLR_omitted,MLR,300,0.75,1000,0.95,0.955,0.952,0.2726945447854373,0.2751336066862305,0.2742048428340529,0.14226371515002528,0.053,0.711
MLR_omitted,MLR,300,1.0,1000,0.95,0.953,0.95,0.30325031194481744,0.3052332318082422,0.3049751283178749,0.13905235779822614,0.049,0.717
MLR_omitted,MLR,1000,0.0,1000,0.958,0.957,0.956,0.12427184937487748,0.12462621629515645,0.12448627715116053,0.14525859548281161,0.04,0.684
MLR_omitted,MLR,1000,0.25,1000,0.945,0.946,0.946,0.1273136525879261,0.1275777120757558,0.12747833212232673,0.1737296803740824,0.063,0.658
MLR_omitted,MLR,1000,0.5,1000,0.954,0.954,0.954,0.1353570311437003,0.13561612406945528,0.13559780453475215,0.14853317397308266,0.044,0.665
MLR_omitted,MLR,1000,0.75,1000,0.953,0.952,0.954,0.1484128548809406,0.148747343218786,0.14863779286983975,0.14482598511586633,0.049,0.719
