dgp,delta,n,method,B,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true
DGP1_nonlinearity,0.0,100,Naive_OLS,500,0.942,0.010453324829928518,0.4000096125768304,0.3971913820118939,0.002019228179671712,0.09831224653342427,0.10078512793647852,1.0
DGP1_nonlinearity,0.0,100,Sandwich_HC3,500,0.948,0.009929350431926557,0.3992398517793224,0.39452181434080974,0.002019228179671712,0.09831224653342427,0.10184877245920727,1.0
DGP1_nonlinearity,0.0,100,Pairs_Bootstrap,500,0.944,0.010282412168358165,0.39117246564738195,0.38542857832498967,0.002019228179671712,0.09831224653342427,0.1000412172492681,1.0
DGP1_nonlinearity,0.0,100,Bayesian_Normal,500,0.942,0.010453324829928518,0.3999884750251648,0.39717137486342596,0.0019154771350860078,0.09829879684694637,0.10077980218734177,1.0
DGP1_nonlinearity,0.0,100,AMRI,500,0.946,0.010107818755794947,0.40225818477119923,0.3973255606458699,0.002019228179671712,0.09831224653342427,0.1013516709123435,1.0
DGP1_nonlinearity,0.0,500,Naive_OLS,500,0.962,0.008550555537507495,0.17652758268164792,0.17632709564585863,-0.0022126722099826694,0.042064146125600596,0.04492392735421868,1.0
DGP1_nonlinearity,0.0,500,Sandwich_HC3,500,0.964,0.008331146379700699,0.17686429299043271,0.1764229264902416,-0.0022126722099826694,0.042064146125600596,0.04511927116659176,1.0
DGP1_nonlinearity,0.0,500,Pairs_Bootstrap,500,0.956,0.009172131704244116,0.1753353292508931,0.1751130656547995,-0.0022126722099826694,0.042064146125600596,0.04490279603634586,1.0
DGP1_nonlinearity,0.0,500,Bayesian_Normal,500,0.962,0.008550555537507495,0.17652580036840027,0.17632525141063016,-0.0022327470096065983,0.04206429670186379,0.044923473779147606,1.0
DGP1_nonlinearity,0.0,500,AMRI,500,0.962,0.008550555537507495,0.17748497445543995,0.1763957116505841,-0.0022126722099826694,0.042064146125600596,0.04516757085650877,1.0
DGP1_nonlinearity,0.5,100,Naive_OLS,500,0.84,0.01639512122553536,0.48377494742725546,0.4831421973822221,0.002215037888124297,0.17949346017786602,0.1218903707209142,1.0
DGP1_nonlinearity,0.5,100,Sandwich_HC3,500,0.948,0.009929350431926557,0.7116521214505234,0.6806999316214943,0.002215037888124297,0.17949346017786602,0.1815472445065176,1.0
DGP1_nonlinearity,0.5,100,Pairs_Bootstrap,500,0.944,0.010282412168358165,0.6666108602338923,0.6452449654614787,0.002215037888124297,0.17949346017786602,0.17149146728035275,1.0
DGP1_nonlinearity,0.5,100,Bayesian_Normal,500,0.84,0.01639512122553536,0.4837495644866185,0.4831159652078657,0.0021111933679994507,0.1794746254687113,0.12188397531730624,1.0
DGP1_nonlinearity,0.5,100,AMRI,500,0.958,0.00897061870775924,0.7468314992449225,0.723670544360183,0.002215037888124297,0.17949346017786602,0.18816924851758274,1.0
DGP1_nonlinearity,0.5,500,Naive_OLS,500,0.802,0.017821111076473318,0.214966708197969,0.21529496544358573,-0.003552388808613653,0.08524872656927683,0.054706174728948204,1.0
DGP1_nonlinearity,0.5,500,Sandwich_HC3,500,0.942,0.010453324829928518,0.32256555507885837,0.3181384654953451,-0.003552388808613653,0.08524872656927683,0.0822886434708021,1.0
DGP1_nonlinearity,0.5,500,Pairs_Bootstrap,500,0.94,0.010620734437881408,0.31699625787124663,0.31342704276929356,-0.003552388808613653,0.08524872656927683,0.08107274101789491,1.0
DGP1_nonlinearity,0.5,500,Bayesian_Normal,500,0.802,0.017821111076473318,0.21496454043011579,0.2152928110825627,-0.0035724442725570908,0.085248079465268,0.05470562306079483,1.0
DGP1_nonlinearity,0.5,500,AMRI,500,0.948,0.009929350431926557,0.3395189819334213,0.33485921301310034,-0.003552388808613653,0.08524872656927683,0.08640307564434221,1.0
DGP1_nonlinearity,1.0,100,Naive_OLS,500,0.748,0.019416281827373642,0.6726990619339209,0.6666136108477627,0.0024108475965768667,0.31494968122227507,0.16949107943434047,1.0
DGP1_nonlinearity,1.0,100,Sandwich_HC3,500,0.942,0.010453324829928518,1.2358341546840819,1.168250721250486,0.0024108475965768667,0.31494968122227507,0.3152696081234614,1.0
DGP1_nonlinearity,1.0,100,Pairs_Bootstrap,500,0.934,0.01110351295761841,1.140995309125559,1.100940186171836,0.0024108475965768667,0.31494968122227507,0.29413340179802155,1.0
DGP1_nonlinearity,1.0,100,Bayesian_Normal,500,0.748,0.019416281827373642,0.6726640190324199,0.6665652489238059,0.002306909600912883,0.31492075246079476,0.16948225013824356,1.0
DGP1_nonlinearity,1.0,100,AMRI,500,0.956,0.009172131704244116,1.3138487811049693,1.241999001502206,0.0024108475965768667,0.31494968122227507,0.3310330885296345,1.0
DGP1_nonlinearity,1.0,500,Naive_OLS,500,0.686,0.020755914819636352,0.30224667566651864,0.3009911296561743,-0.004892105407244655,0.15216623733088225,0.07691776828544526,1.0
DGP1_nonlinearity,1.0,500,Sandwich_HC3,500,0.924,0.01185107590052481,0.5678110633804996,0.5575542229774365,-0.004892105407244655,0.15216623733088225,0.14485242276371424,1.0
DGP1_nonlinearity,1.0,500,Pairs_Bootstrap,500,0.92,0.012132600710482479,0.5551559905554472,0.5460027127049656,-0.004892105407244655,0.15216623733088225,0.14225580478020303,1.0
