dgp,delta,n,cov_v2,cov_naive,cov_hc3,avg_weight,ci_lo,ci_hi,valid_reps,assumption_note
Heteroscedastic (delta=0),0.0,100,0.955,0.957,0.951,0.16330158037961723,0.940316857129231,0.9662006651571536,1000,A1-A3 hold
Heteroscedastic (delta=0),0.0,500,0.956,0.956,0.953,0.1291042478433166,0.9414479081796453,0.9670619603095666,1000,A1-A3 hold
Heteroscedastic (delta=0),0.0,2000,0.942,0.94,0.945,0.1459800595405845,0.9257500917212245,0.9548669299284063,1000,A1-A3 hold
Heteroscedastic (delta=0.5),0.5,100,0.939,0.914,0.944,0.364189888385138,0.922419543452788,0.9522204395883611,1000,A1-A3 hold
Heteroscedastic (delta=0.5),0.5,500,0.951,0.924,0.957,0.7127958233506805,0.9358089847812472,0.9627391526938285,1000,A1-A3 hold
Heteroscedastic (delta=0.5),0.5,2000,0.944,0.922,0.944,0.9861033657613849,0.9279763237468875,0.9566253903083978,1000,A1-A3 hold
Heteroscedastic (delta=1.0),1.0,100,0.948,0.857,0.954,0.7765673990348021,0.9324439406590116,0.9601271582075824,1000,A1-A3 hold
Heteroscedastic (delta=1.0),1.0,500,0.954,0.838,0.954,0.9987704935566405,0.9391874888881304,0.9653376871954269,1000,A1-A3 hold
Heteroscedastic (delta=1.0),1.0,2000,0.962,0.838,0.962,1.0,0.9482727912457906,0.9721911544603846,1000,A1-A3 hold
Heavy tails t(3) (delta=0.75),0.75,100,0.95,0.945,0.954,0.2787410604270239,0.9346858639155304,0.9618699273567182,1000,A3 violated
Heavy tails t(3) (delta=0.75),0.75,500,0.94,0.941,0.942,0.4156425305024977,0.9235285893693421,0.9531037398746343,1000,A3 violated
Heavy tails t(3) (delta=0.75),0.75,2000,0.944,0.947,0.943,0.4506208850699439,0.9279763237468875,0.9566253903083978,1000,A3 violated
Nonlinear (delta=0.5),0.5,100,0.951,0.821,0.955,0.9264304880268682,0.9358089847812472,0.9627391526938285,1000,A1-A3 hold
Nonlinear (delta=0.5),0.5,500,0.939,0.789,0.938,1.0,0.922419543452788,0.9522204395883611,1000,A1-A3 hold
Nonlinear (delta=0.5),0.5,2000,0.942,0.789,0.942,1.0,0.9257500917212245,0.9548669299284063,1000,A1-A3 hold
Omitted variable (delta=0.5),0.5,100,0.952,0.951,0.946,0.14750689139560189,0.9369335997915913,0.9636068838863117,1000,A1-A3 hold
Omitted variable (delta=0.5),0.5,500,0.948,0.952,0.948,0.151172221172381,0.9324439406590116,0.9601271582075824,1000,A1-A3 hold
Omitted variable (delta=0.5),0.5,2000,0.951,0.951,0.952,0.15801438311081273,0.9358089847812472,0.9627391526938285,1000,A1-A3 hold
