c1,c2,max_regret,mean_regret,min_coverage,mean_coverage,max_width_ratio
0.5,1.5,9.453628980995628e-05,1.0755679068078776e-05,0.9408,0.9491533333333334,1.0036286176895575
0.5,1.75,9.7481814053871e-05,1.1211974062543535e-05,0.9406,0.9491733333333332,1.0034292969367646
0.5,2.0,0.0001002724921116973,1.1461844850926781e-05,0.9404,0.94926,1.0032074001867823
0.5,2.25,9.529891751507719e-05,1.1862922705942383e-05,0.9406,0.9492666666666667,1.0029766799111384
0.5,2.5,9.419060897535115e-05,1.2303055007004394e-05,0.9406,0.9492466666666668,1.0030197500667604
0.5,2.75,9.702414916519544e-05,1.3853489517366567e-05,0.9404,0.9491666666666667,1.0034482644588503
0.5,3.0,8.509990870342635e-05,1.517047382576743e-05,0.941,0.9491266666666668,1.0038611375336979
0.75,1.5,9.40476033618763e-05,1.099389763905634e-05,0.9408,0.9492266666666666,1.003532749812356
0.75,1.75,9.694397402266872e-05,1.1617875976015493e-05,0.9406,0.9491999999999999,1.003307565840665
0.75,2.0,9.96759971820151e-05,1.1920330372266556e-05,0.9404,0.9492133333333334,1.0030656359599064
0.75,2.25,0.00010233798757942162,1.226284247178452e-05,0.9402,0.9492466666666667,1.0029358686741097
0.75,2.5,9.734246562065202e-05,1.3165529147680512e-05,0.9404,0.9491999999999999,1.0034074105744526
0.75,2.75,8.887718138068267e-05,1.4219084746276673e-05,0.9408,0.9491266666666668,1.0038410317020923
0.75,3.0,8.81520545223109e-05,1.5989603571053298e-05,0.9408,0.9491866666666666,1.0042561387582294
1.0,1.5,0.00010122272286006288,1.1414226774079701e-05,0.9404,0.9492533333333333,1.0034551302392336
1.0,1.75,0.00010414103326320349,1.1788447848074534e-05,0.9402,0.9492333333333335,1.0031807581346865
1.0,2.0,0.00010296608943938328,1.1897244914147642e-05,0.9402,0.9492733333333333,1.0029100477102324
1.0,2.25,0.000105642336373289,1.270222988614164e-05,0.94,0.9492600000000001,1.0033856828821146
1.0,2.5,9.2879058861187e-05,1.364450636218938e-05,0.9406,0.9491733333333333,1.0038608460645133
1.0,2.75,8.104286944325475e-05,1.5110060361036955e-05,0.9412,0.9491866666666665,1.0042916365689503
1.0,3.0,8.392656078120886e-05,1.730191049706981e-05,0.941,0.9491666666666665,1.0047023063987472
1.25,1.5,0.00010445501189550516,1.19380059386981e-05,0.9402,0.9492133333333332,1.0033533984475473
1.25,1.75,9.950054197015949e-05,1.2048318001203267e-05,0.9404,0.9492266666666668,1.0029927061865695
1.25,2.0,0.00010609592564319689,1.25865643976375e-05,0.94,0.94918,1.0033326027081086
1.25,2.25,9.315259005175201e-05,1.3225876065179201e-05,0.9406,0.9491733333333333,1.0038939003960217
1.25,2.5,8.115320532998506e-05,1.408304372709302e-05,0.9412,0.9491866666666666,1.0043624527121189
1.25,2.75,8.031124605848358e-05,1.603023258634965e-05,0.9412,0.9492066666666666,1.0047814405260278
1.25,3.0,0.0001063135970718954,1.8985637566616298e-05,0.941,0.9491133333333334,1.0051808054804987
1.5,1.75,9.097943227455412e-05,1.1855141056709433e-05,0.9408,0.9492133333333332,1.0032312452913135
1.5,2.0,8.971626703557953e-05,1.2278878408964815e-05,0.9408,0.9492066666666666,1.003817037229225
1.5,2.25,8.125021289409604e-05,1.3360736113515296e-05,0.9412,0.9492066666666665,1.0044039559727367
1.5,2.5,8.027415168081377e-05,1.5083480558809149e-05,0.9412,0.9491800000000001,1.0048621324736795
1.5,2.75,9.107275989701634e-05,1.7658622016698835e-05,0.9408,0.9491466666666667,1.005264981898058
1.5,3.0,0.00014095198805944885,2.148463252018559e-05,0.9408,0.9490800000000001,1.0056503174496028
